,release_date,name,price,link,brand,img_link,predicted_prices,predicted_profit,price_after_week,price_after_two_weeks,price_after_month
12,Available 8/3 at 2:00 PM,Air Jordan 6 White and Midnight Navy,200.0,https://nike.com/launch/t/air-jordan-6-white-and-midnight-navy,Jordan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZD9rsoxdov20EXXg4b3i8fQe3aw1zkQ2RnsVgtb5e88axs1wfewtxGNz_X_A&s,271.963632767885,71.96363276788497,271.963632767885,271.963632767885,271.963632767885
7,Available 8/7 at 2:00 PM,Women's Air Jordan 6  Pearl,200.0,https://nike.com/launch/t/womens-air-jordan-6-pearl,Jordan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7wR1xk10zV6k9vRykUZ2EnPOHHKstkuK5V_QtmCyITLdlqjh_BDZqH3T1fw&s,271.963632767885,71.96363276788497,271.963632767885,271.963632767885,271.963632767885
9,Available 8/3 at 2:00 PM,Air Jordan 6 White and Midnight Navy,200.0,https://nike.com/launch/t/jordan-essentials-collection,Jordan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZD9rsoxdov20EXXg4b3i8fQe3aw1zkQ2RnsVgtb5e88axs1wfewtxGNz_X_A&s,271.963632767885,71.96363276788497,271.963632767885,271.963632767885,271.963632767885
17,Available 8/6 at 2:00 PM,Kobe 4 Protro Metallic Gold and Dark Obsidian,190.0,https://nike.com/launch/t/kobe-4-protro-metallic-gold-and-dark-obsidian,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSJCXrY5uHxx-fWjpnPquFyHn2A4nii8pmoImqDAQCQ2SCLMDvxqEsRPaI-w&s,260.68451854612306,70.68451854612306,260.68451854612306,260.68451854612306,260.68451854612306
16,Available 8/10 at 2:00 PM,Black Tea and Petra Brown Air Max Plus Premium,190.0,https://nike.com/launch/t/air-max-black-tea-and-petra-brown,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTns8ex-loAmEA3rq7X9HXkNv-m7zZQDDOmEL8syc1gA9vV30KGF-wU1XFLAhM&s,260.68451854612306,70.68451854612306,260.68451854612306,260.68451854612306,260.68451854612306
22,Available 8/6 at 2:00 PM,Air Max SNDR Volt and Black,180.0,https://nike.com/launch/t/air-max-sndr-volt-and-black,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOfKfn4GeO7DRingax86PVL0rgHmmXZvgBaniZwJGPKfgO_tRhpplXaXTepRU&s,249.40540432436114,69.40540432436114,249.40540432436114,249.40540432436114,249.40540432436114
15,Available 8/10 at 2:00 PM,Air Jordan 1 High OG Black and Gold,180.0,https://nike.com/launch/t/air-jordan-1-high-og-black-and-gold,Jordan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHJdCNUObMtgxsW7_HKPnHwhI4P1RBvEtm6F7WglC90i3MQFZd5eZhkKTdais&s,249.40540432436114,69.40540432436114,249.40540432436114,249.40540432436114,249.40540432436114
10,Available 8/6 at 2:00 PM,Air Max SNDR Hyper Pink and Black,180.0,https://nike.com/launch/t/air-max-sndr-hyper-pink-and-black,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaW1ampbQK8t3rNVHb9JRTYZlh5UP9qyEkypbdjC21nJuJfBJWgwqlMcXTduE&s,249.40540432436114,69.40540432436114,249.40540432436114,249.40540432436114,249.40540432436114
18,Available 8/6 at 2:00 PM,Zoom Vomero 5 SE Bright Crimson and Black,160.0,https://nike.com/launch/t/cz8667-600-nike-zoom-vomero-5-se-hzct-na-only,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQofzFobFV8QtKhGz_3rjzZvlZctR0z7xSkZ9nsNIBmNh-p7j0_WMdMRA2fK2Q&s,226.8471758808373,66.84717588083731,226.8471758808373,226.8471758808373,226.8471758808373
6,Available 8/8 at 2:00 PM,Air Jordan Nigel 4RM  Driveway Grey,160.0,https://nike.com/launch/t/air-jordan-nigel-4rm-driveway-grey,Jordan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbhqp6EgFkYGmxGUNXt8bQKwYRTvAHAVVP0n_nBLCFIiAkY3wuWxsggw97Iw&s,226.8471758808373,66.84717588083731,226.8471758808373,226.8471758808373,226.8471758808373
14,Available 8/6 at 2:00 PM,Women's Shox R4 Racer Blue and Metallic Silver,150.0,https://nike.com/launch/t/womens-shox-r4-racer-blue-and-metallic-silver,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCQhOF1CM5FFxFv69PiMYHhT28ATk9y5GQ1bR-xy_f1puowT44xmm7wxChlQo&s,215.56806165907543,65.56806165907543,215.56806165907543,215.56806165907543,215.56806165907543
23,Available 8/9 at 2:00 PM,KD 4 “Nerf” Concord and Electric Green ©2024 Hasbro,150.0,https://nike.com/launch/t/kd-4-nerf-concord-and-electric-green-2024-hasbro,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdHtpV_Ax77lZ763xPHxfE8Wii1tFrSOLNiNQ8y9YB27LKa3cWCLlnYs81Fw&s,215.56806165907543,65.56806165907543,215.56806165907543,215.56806165907543,215.56806165907543
11,Available 8/7 at 2:00 PM,Air 180 Summit White and Concord,150.0,https://nike.com/launch/t/fj9259-101-nike-air-180-na-only,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWXvbYWtTSHHhylfG8YMS6M1HTAw14IW6r2bo3RDtCu0e61Ffp-HRNxQdxtg&s,215.56806165907543,65.56806165907543,215.56806165907543,215.56806165907543,215.56806165907543
8,Available 8/10 at 2:00 PM,Air Force 1 Low Black Tea and Petra Brown,150.0,https://nike.com/launch/t/air-force-1-black-tea-and-petra-brown,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSr3CCizn8cNfHX3m3L0UI6ccjOn-6m-pG75oZhsSS9V8mbOV-UwMUmA0Z5GPE&s,215.56806165907543,65.56806165907543,215.56806165907543,215.56806165907543,215.56806165907543
